ID,Posición,Area,Á.liq.,Grupo de personal,CODIGO POSTAL,Motivo de la RENUNCIA,Tipo de Baja,Banda,Baja,ReglaPHT,Alta,Antigüedad Clas,Antigüedad,Clave de sexo,Lugar de nacimiento,Clasificacion L. N,Edad del empleado,¿Cuanto tiempo tiene viviendo en Cd. Juarez?,Estado Civil,Hijos
267,POS1323,VS9-ABS,S5,Direct,32510,Vol-Insatisfacción personal,Voluntario,DO,12/05/2023,JF010600,05/01/2023,1 - 6 Meses,127,Masculino,CIUDAD JUAREZ,CIUDAD ,28,10+ Years,Soltero,0
268,POS1323,VS4,S5,Direct,32575,Vol-No regreso / no dio razón,Voluntario,DO,15/05/2023,JS011500,02/02/2023,1 - 6 Meses,102,Masculino,JUAREZ,CIUDAD ,20,Menos de un año,Soltero,0
269,POS2939,VS7,S5,Direct,32575,Vol-No regreso / no dio razón,Voluntario,DO,15/05/2023,JS011500,30/03/2023,1 - 6 Meses,46,Femenino,JUAREZ,CIUDAD ,41,Menos de un año,Divorciado,3
270,POS1380,MFS,S5,Direct,32575,Vol-Cambio de domicilio,Voluntario,DO,16/05/2023,JT031800,08/09/2022,1 - 3 Años,250,Masculino,TUXTEPEC,PAIS,27,Menos de un año,U.Libre,1
271,POS1323,VS1-HOUS,S5,Direct,32590,Vol-Otro empleo,Voluntario,DO,16/05/2023,JF010600,07/10/2015,6 - 10 Años,2778,Femenino,TUXTEPEC,PAIS,47,10+ Years,Casado,3
272,POS1323,VS4,S5,Direct,32575,Vol-Transferencia entre planta,Voluntario,DO,16/05/2023,JF010600,05/12/2019,4 - 5 Años,1258,Femenino,CHIHUAHUA,ESTADO,21,10+ Years,Soltero,0
273,POS347,LOG,S5,Direct,32422,Vol-Prob personales y/o fam.,Voluntario,DNO,16/05/2023,JF010600,02/11/2017,6 - 10 Años,2021,Femenino,TUXTEPEC,PAIS,30,10+ Years,Soltero,1
274,POS347,LOG,S5,Direct,32599,Vol-Insatisfacción personal,Voluntario,DNO,16/05/2023,JT012324,14/12/2016,6 - 10 Años,2344,Masculino,ORIZABA,PAIS,28,9-10 Years,U.Libre,1
275,POS1745,MFS,S5,Direct,32599,Vol-Otro empleo,Voluntario,DNO,16/05/2023,ADMINIST,23/11/2016,6 - 10 Años,2365,Masculino,CD JUAREZ,CIUDAD ,25,10+ Years,Soltero,0
276,POS1323,VS7,S5,Direct,32576,Vol-Prob personales y/o fam.,Voluntario,DO,16/05/2023,JS011500,01/10/2020,1 - 3 Años,957,Masculino,GUERRERO,ESTADO,44,Menos de un año,Casado,3
277,POS538,VS9-ABS,S5,Direct,32599,Vol-Prob personales y/o fam.,Voluntario,DO,16/05/2023,JT031800,07/03/2019,4 - 5 Años,1531,Femenino,DURANGO,PAIS,42,10+ Years,Soltero,4
278,POS1323,VS9-ABS,S5,Direct,32575,Vol-Prob personales y/o fam.,Voluntario,DO,16/05/2023,JF010600,30/01/2020,1 - 3 Años,1202,Femenino,JUAREZ,CIUDAD ,31,10+ Years,Soltero,1
279,POS538,VS9-ABS,S5,Direct,32590,Vol-Insatisfacción personal,Voluntario,DO,16/05/2023,JT031800,03/11/2022,1 - 3 Años,194,Masculino,TORREON,PAIS,53,10+ Years,Casado,4
280,POS538,VS9-ABS,S5,Direct,32590,Vol-Transferencia entre planta,Voluntario,DO,16/05/2023,JF060600,29/12/2022,1 - 3 Años,138,Masculino,JUAREZ,CIUDAD ,21,10+ Years,Soltero,0
281,POS538,VS9-ABS,S5,Direct,32575,Vol-Prob personales y/o fam.,Voluntario,DO,16/05/2023,JT031800,05/01/2023,1 - 6 Meses,131,Femenino,DURANGO,PAIS,38,10+ Years,Casado,3
282,POS2847,TEF,S6,Exempt,32696,Muerte,Voluntario,E3,19/05/2023,ADMINIST,22/08/2019,4 - 5 Años,1366,Masculino,CHIHUAHUA,ESTADO,26,Menos de un año,Soltero,0
283,POS970,HSE,S6,Exempt,32659,Imp.Pat-Terminación del Contrato,Impuesta,E4,19/05/2023,ADMINIST,25/08/2020,1 - 3 Años,997,Masculino,JUAREZ,CIUDAD ,32,Menos de un año,Soltero,0
284,POS514,LOG,S6,Exempt,32389,Imp.Tra-Bajo desempeño,Impuesta,E3,19/05/2023,ADMINIST,30/06/2022,1 - 3 Años,323,Masculino,CHIHUAHUA,ESTADO,24,Menos de un año,Soltero,0
285,POS1230,VS9-ABS,S5,Direct,32340,Vol-Transferencia entre planta,Voluntario,DNO,19/05/2023,JF010600,05/01/2023,1 - 6 Meses,134,Femenino,CHIHUAHUA,ESTADO,22,10+ Years,Soltero,0
286,POS977,VS5,S6,Managers,32472,Imp.Pat-Terminación del Contrato,Impuesta,SL1,19/05/2023,JF010600,11/01/2018,4 - 5 Años,1954,Femenino,JUAREZ,CIUDAD ,48,Menos de un año,Casado,3
287,POS1376,VS7,S5,Direct,32599,Imp.Tra-Jubilación,Impuesta,DNO,19/05/2023,JT021800,19/05/2008,10+ Años,5478,Masculino,GUANAJUATO,PAIS,62,Menos de un año,Casado,0
288,POS2456,VS5,S5,Direct,32599,Vol-Transferencia entre planta,Voluntario,DNO,19/05/2023,JF010600,02/07/2010,10+ Años,4704,Masculino,CD JUAREZ,CIUDAD ,31,Menos de un año,Casado,0
289,POS1380,MFS,S5,Direct,32575,Vol-No regreso / no dio razón,Voluntario,DO,22/05/2023,JT031800,05/01/2023,1 - 6 Meses,137,Femenino,CHIHUAHUA,ESTADO,24,Menos de un año,Soltero,1
290,POS1380,MFS,S5,Direct,32599,Vol-Prob personales y/o fam.,Voluntario,DO,23/05/2023,JF060600,19/03/2020,1 - 3 Años,1160,Femenino,JUAREZ,CIUDAD ,25,Menos de un año,Soltero,3
291,POS1921,MFS,S5,Direct,32594,Vol-Prob personales y/o fam.,Voluntario,DO,23/05/2023,JF010600,20/07/2017,6 - 10 Años,2133,Femenino,JUAREZ,CIUDAD ,24,Menos de un año,U.Libre,0
292,POS538,VS1,S5,Direct,32575,Vol-Razones médicas,Voluntario,DO,23/05/2023,JT031800,09/02/2023,1 - 6 Meses,103,Femenino,JUAREZ,CIUDAD ,32,10+ Years,Casado,4
293,POS1323,VS4,S5,Direct,32575,Vol-Otro empleo,Voluntario,DO,23/05/2023,JT012324,16/02/2023,1 - 6 Meses,96,Masculino,CIUDAD JUAREZ,CIUDAD ,20,10+ Years,Soltero,0
294,POS2939,VS4,S5,Direct,32590,Vol-Transferencia entre planta,Voluntario,DO,23/05/2023,JS011500,23/03/2023,1 - 6 Meses,61,Femenino,VERACRUZ,PAIS,43,Menos de un año,Casado,3
295,POS1323,VS5,S5,Direct,32575,Vol-Prob personales y/o fam.,Voluntario,DO,23/05/2023,JS011500,22/11/2018,4 - 5 Años,1643,Femenino,COAHUILA,PAIS,41,Menos de un año,Soltero,3
296,POS2939,VS7,S5,Direct,32698,Vol-Prob personales y/o fam.,Voluntario,DO,23/05/2023,JF010600,30/03/2023,1 - 6 Meses,54,Femenino,JUAREZ,CIUDAD ,24,10+ Years,Casado,3
297,POS2939,VS7,S5,Direct,32575,Vol-Estudios,Voluntario,DO,23/05/2023,JS011500,05/04/2023,1 - 6 Meses,48,Masculino,CHIHUAHUA,ESTADO,23,Menos de un año,Soltero,1
298,POS1111,TEF,S5,Indirect,32575,Vol-Otro empleo,Voluntario,DNO,23/05/2023,ADMINIST,01/02/2017,6 - 10 Años,2302,Masculino,JUAREZ,CIUDAD ,44,Menos de un año,Casado,3
299,POS347,LOG,S5,Direct,32575,Vol-Estudios,Voluntario,DNO,23/05/2023,JT021800,07/09/2017,6 - 10 Años,2084,Femenino,JUAREZ,CIUDAD ,24,Menos de un año,Soltero,0
300,POS1323,VS9-ABS,S5,Direct,32575,Vol-Razones médicas,Voluntario,DO,23/05/2023,JT012324,01/09/2022,1 - 3 Años,264,Femenino,CIUDAD JUAREZ,CIUDAD ,35,9-10 Years,U.Libre,2
301,POS1323,VS9-ABS,S5,Direct,32575,Vol-Transferencia entre planta,Voluntario,DO,23/05/2023,JS011500,14/09/2022,1 - 3 Años,251,Femenino,"JUAREZ, CHIHUAHUA",CIUDAD ,23,Menos de un año,Soltero,4
302,POS538,VS9-ABS,S5,Direct,32583,Vol-Otro empleo,Voluntario,DO,23/05/2023,JT031800,29/12/2022,1 - 3 Años,145,Femenino,CULIACAN,PAIS,31,10+ Years,Casado,1
303,POS538,VS9-ABS,S5,Direct,32575,Vol-Cambio de domicilio,Voluntario,DO,23/05/2023,JT031800,10/01/2023,1 - 6 Meses,133,Femenino,VERACRUZ,PAIS,33,10+ Years,Soltero,3
304,POS538,VS9-ABS,S5,Direct,32575,Vol-Prob personales y/o fam.,Voluntario,DO,23/05/2023,JT031800,03/12/2014,6 - 10 Años,3093,Femenino,CIHUATLAN,PAIS,38,Menos de un año,Divorciado,3
305,POS2939,VS1-HOUS,S5,Direct,32590,Vol-Insatisfacción personal,Voluntario,DO,23/05/2023,JS011500,23/03/2023,1 - 6 Meses,61,Femenino,HIDALGO,ESTADO,50,Menos de un año,Casado,3
306,POS2718,VS7,S5,Indirect,32471,Vol-Transferencia entre planta,Voluntario,DNO,26/05/2023,ADMINIST,06/07/2017,6 - 10 Años,2150,Femenino,JUAREZ,CIUDAD ,27,10+ Years,Soltero,0
307,POS1227,LOG,S6,Exempt,32563,Vol-Transferencia entre planta,Voluntario,E3,26/05/2023,ADMINIST,16/02/2016,6 - 10 Años,2656,Femenino,MIGUEL HIDALGO,PAIS,34,Menos de un año,Soltero,0
308,POS1884,DBE,S6,Exempt,32350,Vol-Otro empleo,Voluntario,E3,26/05/2023,ADMINIST,16/08/2016,6 - 10 Años,2474,Masculino,QUERETARO,PAIS,31,Menos de un año,Soltero,0
309,POS2003,MFS,S5,Direct,32575,Imp.Tra-LFT y/o Reglamento Int.,Impuesta,DO,28/05/2023,JT021800,28/10/2015,6 - 10 Años,2769,Masculino,JUAREZ,CIUDAD ,43,Menos de un año,U.Libre,4
310,POS347,LOG,S5,Direct,32599,Imp.Tra-LFT y/o Reglamento Int.,Impuesta,DNO,28/05/2023,JS011500,29/08/2019,4 - 5 Años,1368,Masculino,COAHUILA,PAIS,50,Menos de un año,Casado,2
311,POS538,VS7,S5,Direct,32575,Vol-No regreso / no dio razón,Voluntario,DO,29/05/2023,JF060600,05/04/2023,1 - 6 Meses,54,Femenino,CHIHUAHUA,ESTADO,18,10+ Years,Soltero,0
312,POS1323,VS9-ABS,S5,Direct,32575,Vol-Transferencia entre planta,Voluntario,DO,29/05/2023,JF010600,11/01/2017,6 - 10 Años,2329,Masculino,DISTRITO FEDERAL,PAIS,29,Menos de un año,U.Libre,0
313,POS347,LOG,S5,Direct,32130,Imp.Tra-LFT y/o Reglamento Int.,Impuesta,DNO,30/05/2023,JT021800,12/04/2004,10+ Años,6987,Femenino,CD JUAREZ,CIUDAD ,41,Menos de un año,Viudo,4
314,POS1921,MFS,S5,Direct,32575,Vol-Insatisfacción personal,Voluntario,DO,30/05/2023,JS011500,17/01/2023,1 - 6 Meses,133,Masculino,VERACRUZ,PAIS,32,Menos de un año,Soltero,0
315,POS1921,MFS,S5,Direct,32590,Vol-Cambio de domicilio,Voluntario,DO,30/05/2023,JF010600,13/05/2013,6 - 10 Años,3669,Femenino,JUAREZ,CIUDAD ,46,Menos de un año,Soltero,3
316,POS1323,VS1,S5,Direct,32575,Vol-Prob personales y/o fam.,Voluntario,DO,30/05/2023,JF010600,09/02/2023,1 - 6 Meses,110,Masculino,OAXACA,PAIS,21,9-10 Years,Soltero,0
317,POS2939,VS4,S5,Direct,32599,Vol-Transferencia entre planta,Voluntario,DO,30/05/2023,JT012324,23/03/2023,1 - 6 Meses,68,Femenino,CHIHUAHUA,ESTADO,22,10+ Years,U.Libre,2
318,POS538,VS5,S5,Direct,27000,Vol-Prob personales y/o fam.,Voluntario,DO,30/05/2023,JF060600,20/10/2022,1 - 3 Años,222,Masculino,ZACATECAS,PAIS,19,10+ Years,Soltero,0
319,POS1323,VS5,S5,Direct,32599,Vol-Prob personales y/o fam.,Voluntario,DO,30/05/2023,JT012324,12/01/2023,1 - 6 Meses,138,Femenino,CIUDAD JUAREZ,CIUDAD ,24,3-4 Years,Soltero,1
320,POS2939,VS5,S5,Direct,32599,Vol-Prob personales y/o fam.,Voluntario,DO,30/05/2023,JS011500,16/03/2023,1 - 6 Meses,75,Femenino,COAHUILA,PAIS,34,Menos de un año,U.Libre,3
321,POS2003,VS5,S5,Direct,32575,Vol-Otro empleo,Voluntario,DO,30/05/2023,JF050600,08/04/2015,6 - 10 Años,2974,Masculino,OCOSINGO,PAIS,26,10+ Years,Soltero,0
322,POS538,VS7,S5,Direct,32599,Vol-Otro empleo,Voluntario,DO,30/05/2023,JT031800,02/11/2016,6 - 10 Años,2400,Femenino,JUAREZ,CIUDAD ,25,10+ Years,Soltero,0
323,POS1323,VS1,S5,Direct,32590,Vol-No regreso / no dio razón,Voluntario,DO,30/05/2023,JS011500,16/02/2023,1 - 6 Meses,103,Femenino,VERACRUZ,PAIS,45,Menos de un año,Soltero,2
324,POS538,VS9-ABS,S5,Direct,32575,Vol-Prob personales y/o fam.,Voluntario,DO,30/05/2023,JF060600,24/10/2019,4 - 5 Años,1314,Femenino,JUAREZ,CIUDAD ,36,10+ Years,U.Libre,2
325,POS1376,VS1,S5,Direct,32699,Vol-Prob personales y/o fam.,Voluntario,DNO,30/05/2023,JF010600,08/01/2014,6 - 10 Años,3429,Femenino,VERACRUZ,PAIS,34,10+ Years,Casado,3
326,POS538,VS9-ABS,S5,Direct,32598,Vol-No regreso / no dio razón,Voluntario,DO,30/05/2023,JT031800,17/01/2023,1 - 6 Meses,133,Masculino,SAN LUCAS OJITLAN,PAIS,23,10+ Years,Soltero,0
327,POS1323,VS1,S5,Direct,32598,Vol-Otro empleo,Voluntario,DO,30/05/2023,JS011500,24/09/2019,4 - 5 Años,1344,Femenino,OAXACA,PAIS,28,Menos de un año,Soltero,0
328,POS2062,VS4,S6,Exempt,32600,Vol-Otro empleo,Voluntario,E3,01/06/2023,ADMINIST,16/03/2017,6 - 10 Años,2268,Masculino,SINALOA,PAIS,36,10+ Years,Casado,0
329,POS1323,VS9-ABS,S5,Direct,32599,Vol-Transferencia entre planta,Voluntario,DO,02/06/2023,JF010600,02/11/2017,6 - 10 Años,2038,Femenino,IRAPUATO,PAIS,25,Menos de un año,Soltero,0
330,POS538,VS1,S5,Direct,32575,Vol-No regreso / no dio razón,Voluntario,DO,05/06/2023,JF060600,09/03/2023,1 - 6 Meses,88,Femenino,CAMARGO,ESTADO,29,Menos de un año,Casado,2
331,POS1683,CTG,S6,Exempt,32575,Vol-Transferencia entre planta,Voluntario,E4,05/06/2023,ADMINIST,15/07/2013,6 - 10 Años,3612,Masculino,DURANGO,PAIS,32,Menos de un año,Soltero,0
332,POS347,LOG,S5,Direct,32575,Vol-No regreso / no dio razón,Voluntario,DNO,05/06/2023,JF010600,24/02/2016,6 - 10 Años,2658,Masculino,PANUCO DE CORONADO,PAIS,30,10+ Years,U.Libre,4
333,POS347,LOG,S5,Direct,32575,Vol-Otro empleo,Voluntario,DNO,06/06/2023,JS011500,17/05/2018,4 - 5 Años,1846,Masculino,TORREON,PAIS,33,10+ Years,Casado,0
334,POS538,VS9-ABS,S5,Direct,32575,Vol-Prob personales y/o fam.,Voluntario,DO,06/06/2023,JT031800,01/12/2022,1 - 3 Años,187,Femenino,VERACRUZ,PAIS,27,Menos de un año,Soltero,1
335,POS1323,VS9-ABS,S5,Direct,32575,Vol-No regreso / no dio razón,Voluntario,DO,06/06/2023,JS011500,08/12/2022,1 - 3 Años,180,Femenino,VERACRUZ,PAIS,26,Menos de un año,Soltero,0
336,POS1380,MFS,S5,Direct,32695,Vol-Razones médicas,Voluntario,DO,06/06/2023,JT031800,05/01/2023,1 - 6 Meses,152,Femenino,CHIHUAHUA,ESTADO,49,10+ Years,Soltero,2
337,POS1380,MFS,S5,Direct,32695,Vol-Cambio de domicilio,Voluntario,DO,06/06/2023,JF060600,04/05/2017,6 - 10 Años,2224,Femenino,CD JUAREZ,CIUDAD ,26,10+ Years,Soltero,1
338,POS2003,MFS,S5,Direct,32599,Imp.Tra-LFT y/o Reglamento Int.,Impuesta,DO,06/06/2023,JF010600,13/04/2011,10+ Años,4437,Masculino,CD JUAREZ,CIUDAD ,39,Menos de un año,U.Libre,1
339,POS1323,VS1,S5,Direct,32575,Vol-Prob personales y/o fam.,Voluntario,DO,06/06/2023,JF010600,31/08/2017,6 - 10 Años,2105,Femenino,MINATITLAN,PAIS,37,Menos de un año,Casado,0
340,POS1323,VS4,S5,Direct,32574,Vol-Prob personales y/o fam.,Voluntario,DO,06/06/2023,JT012324,16/02/2023,1 - 6 Meses,110,Masculino,CIUDAD JUAREZ,CIUDAD ,29,10+ Years,Soltero,2
341,POS1323,VS9-ABS,S5,Direct,32575,Vol-Transferencia entre planta,Voluntario,DO,09/06/2023,JS011500,08/12/2022,1 - 3 Años,183,Femenino,OAXACA,PAIS,21,Menos de un año,Soltero,0
342,POS538,VS9-ABS,S5,Direct,32575,Vol-No regreso / no dio razón,Voluntario,DO,12/06/2023,JT031800,29/12/2022,1 - 3 Años,165,Femenino,VERACRUZ,PAIS,36,Menos de un año,U.Libre,2
343,POS538,VS5,S5,Direct,32575,Vol-Otro empleo,Voluntario,DO,13/06/2023,JT031800,25/08/2022,1 - 3 Años,292,Masculino,CD.JUAREZ,CIUDAD ,21,10+ Years,Soltero,0
344,POS538,VS9-ABS,S5,Direct,32576,Vol-Otro empleo,Voluntario,DO,13/06/2023,JT031800,08/09/2022,1 - 3 Años,278,Masculino,CIUDAD JUAREZ,CIUDAD ,24,10+ Years,U.Libre,0
345,POS538,VS9-ABS,S5,Direct,32575,Vol-Otro empleo,Voluntario,DO,13/06/2023,JF060600,08/09/2022,1 - 3 Años,278,Femenino,JUAREZ,CIUDAD ,28,10+ Years,Casado,1
346,POS1323,VS1-HOUS,S5,Direct,32575,Vol-Estudios,Voluntario,DO,13/06/2023,JF010600,29/09/2022,1 - 3 Años,257,Femenino,CHIHUAHUA,ESTADO,21,Menos de un año,Soltero,0
347,POS1323,VS5,S5,Direct,32575,Vol-Matrimonio,Voluntario,DO,13/06/2023,JT012324,12/01/2023,1 - 6 Meses,152,Femenino,ARRIAGA,PAIS,30,2-3 Years,U.Libre,2
348,POS2939,VS7,S5,Direct,32575,Vol-Prob personales y/o fam.,Voluntario,DO,13/06/2023,JT012324,30/03/2023,1 - 6 Meses,75,Femenino,CIUDAD JUAREZ,CIUDAD ,25,7-8 Years,Soltero,2
349,POS1323,VS9-ABS,S5,Direct,32575,Imp.Tra-Ausentismos continuos,Impuesta,DO,13/06/2023,JS011500,02/02/2023,1 - 6 Meses,131,Femenino,COAHUILA,PAIS,38,Menos de un año,U.Libre,3
350,POS2939,VS7,S5,Direct,32599,Vol-No regreso / no dio razón,Voluntario,DO,14/06/2023,JT012324,01/06/2023,Menos de un Mes,13,Femenino,CHIAPAS,PAIS,24,3-4 Years,Soltero,0
351,POS2939,VS7,S5,Direct,32576,Vol-No regreso / no dio razón,Voluntario,DO,14/06/2023,JT012324,01/06/2023,Menos de un Mes,13,Femenino,DURANGO,PAIS,24,9-10 Years,Soltero,1
352,POS2939,VS9-ABS,S5,Direct,32575,Vol-No regreso / no dio razón,Voluntario,DO,15/06/2023,JF010600,01/06/2023,Menos de un Mes,14,Femenino,CHIHUAHUA,ESTADO,24,Menos de un año,U.Libre,1
353,POS1116,LOG,S6,Managers,32548,Vol-Transferencia entre planta,Voluntario,SL1,16/06/2023,ADMINIST,12/05/2008,10+ Años,5513,Femenino,"QUERETARO, QRO",PAIS,38,Menos de un año,Casado,0
354,POS1376,VS5,S5,Direct,32560,Imp.Tra-Jubilación,Impuesta,DNO,16/06/2023,JF010600,04/09/2012,10+ Años,3937,Femenino,CD JUAREZ CHIH,CIUDAD ,60,10+ Years,Soltero,1
355,POS1323,VS9-ABS,S5,Direct,32500,Vol-Cambio de domicilio,Voluntario,DO,20/06/2023,JF010600,16/08/2018,4 - 5 Años,1769,Masculino,ZACATECAS,PAIS,28,3-4 Years,Soltero,0
356,POS1323,VS7,S5,Direct,32575,Vol-Insatisfacción personal,Voluntario,DO,20/06/2023,JF010600,22/08/2019,4 - 5 Años,1398,Femenino,JUAREZ,CIUDAD ,24,10+ Years,Soltero,0
357,POS538,VS9-ABS,S5,Direct,32599,Vol-Estudios,Voluntario,DO,20/06/2023,JF060600,07/01/2021,1 - 3 Años,894,Femenino,JUAREZ,CIUDAD ,22,10+ Years,Soltero,0
358,POS1380,MFS,S5,Direct,32575,Vol-Prob personales y/o fam.,Voluntario,DO,20/06/2023,JT031800,08/09/2022,1 - 3 Años,285,Masculino,CIUDAD JUAREZ,CIUDAD ,28,10+ Years,U.Libre,2
359,POS538,VS9-ABS,S5,Direct,32575,Vol-Prob personales y/o fam.,Voluntario,DO,20/06/2023,JT031800,10/01/2023,1 - 6 Meses,161,Femenino,JUAREZ,CIUDAD ,19,Menos de un año,Soltero,0
360,POS1380,MFS,S5,Direct,32695,Vol-Estudios,Voluntario,DO,20/06/2023,JT031800,16/02/2023,1 - 6 Meses,124,Masculino,CIUDAD JUAREZ,CIUDAD ,23,Menos de un año,Soltero,0
361,POS1323,VS7,S5,Direct,32575,Vol-Otro empleo,Voluntario,DO,20/06/2023,JT012324,18/01/2007,10+ Años,5997,Femenino,ENSENADA BAJA CALIFORNIA,PAIS,41,10+ Years,U.Libre,3
362,POS1323,VS9-ABS,S5,Direct,32575,Vol-Prob personales y/o fam.,Voluntario,DO,20/06/2023,JS011500,22/08/2019,4 - 5 Años,1398,Femenino,DELICIAS,ESTADO,37,7-8 Years,U.Libre,3
363,POS1323,VS9-ABS,S5,Direct,32699,Vol-No regreso / no dio razón,Voluntario,DO,22/06/2023,JS011500,10/12/2020,1 - 3 Años,924,Femenino,JUAREZ,CIUDAD ,21,Menos de un año,Soltero,0
364,POS2939,VS9-ABS,S5,Direct,32590,Vol-No regreso / no dio razón,Voluntario,DO,22/06/2023,JS011500,01/06/2023,Menos de un Mes,21,Femenino,COMONDU,PAIS,31,Menos de un año,U.Libre,3
365,POS1323,VS1,S5,Direct,32584,Vol-Transferencia entre planta,Voluntario,DO,23/06/2023,JT012324,05/11/2014,6 - 10 Años,3152,Femenino,JUAREZ,CIUDAD ,31,10+ Years,U.Libre,2
366,POS1323,VS9-ABS,S5,Direct,32594,Vol-Transferencia entre planta,Voluntario,DO,23/06/2023,JF010600,18/03/2015,6 - 10 Años,3019,Femenino,TRES VALLES,PAIS,48,Menos de un año,Casado,3
367,POS251,HSE,S6,Exempt,32553,Vol-Transferencia entre planta,Voluntario,E3,24/06/2023,ADMINIST,05/11/2020,1 - 3 Años,961,Femenino,CHIHUAHUA,ESTADO,28,Menos de un año,Soltero,0
368,POS2858,QMM,S6,Exempt,32400,Vol-Transferencia entre planta,Voluntario,E3,25/06/2023,ADMINIST,11/10/2018,4 - 5 Años,1718,Masculino,JUAREZ,CIUDAD ,35,Menos de un año,Soltero,0
369,POS538,VS9-ABS,S5,Direct,32551,Vol-No regreso / no dio razón,Voluntario,DO,26/06/2023,JT031800,05/01/2023,1 - 6 Meses,172,Femenino,JUAREZ,CIUDAD ,21,Menos de un año,Soltero,0
370,POS1230,VS9-ABS,S5,Direct,32575,Vol-Otro empleo,Voluntario,DNO,27/06/2023,JS011500,02/09/2015,6 - 10 Años,2855,Masculino,CAMARGO,ESTADO,28,10+ Years,Soltero,1
371,POS1921,MFS,S5,Direct,32599,Vol-Insatisfacción personal,Voluntario,DO,27/06/2023,JS011500,15/11/2018,4 - 5 Años,1685,Femenino,COAHUILA,PAIS,36,Menos de un año,Casado,1
372,POS1921,MFS,S5,Direct,32575,Vol-Prob personales y/o fam.,Voluntario,DO,27/06/2023,JS011500,19/03/2020,1 - 3 Años,1195,Femenino,OAXACA,PAIS,34,Menos de un año,Casado,2
373,POS1921,MFS,S5,Direct,32560,Vol-Cambio de domicilio,Voluntario,DO,27/06/2023,JF010600,11/02/2021,1 - 3 Años,866,Femenino,JUAREZ,CIUDAD ,21,10+ Years,Soltero,0
374,POS1921,MFS,S5,Direct,32575,Vol-Insatisfacción personal,Voluntario,DO,27/06/2023,JS011500,21/07/2022,1 - 3 Años,341,Femenino,DURANGO,PAIS,32,Menos de un año,U.Libre,0
375,POS1380,MFS,S5,Direct,32575,Vol-Prob personales y/o fam.,Voluntario,DO,27/06/2023,JT031800,22/09/2022,1 - 3 Años,278,Femenino,CIUDAD JUAREZ,CIUDAD ,22,10+ Years,Soltero,0
376,POS1921,MFS,S5,Direct,32575,Vol-Prob personales y/o fam.,Voluntario,DO,27/06/2023,JT012324,08/12/2022,1 - 3 Años,201,Femenino,CHIHUAHUA,ESTADO,30,2-3 Years,Divorciado,3
377,POS538,VS9-ABS,S5,Direct,32590,Vol-Estudios,Voluntario,DO,27/06/2023,JT031800,22/12/2022,1 - 3 Años,187,Masculino,CIUDAD JUAREZ,CIUDAD ,18,10+ Years,Soltero,0
378,POS1323,VS5,S5,Direct,32575,Vol-Prob personales y/o fam.,Voluntario,DO,27/06/2023,JT012324,12/01/2023,1 - 6 Meses,166,Femenino,JUAREZ,CIUDAD ,25,2-3 Years,Soltero,1
379,POS538,VS1,S5,Direct,32575,Vol-Prob personales y/o fam.,Voluntario,DO,27/06/2023,JT031800,09/02/2023,1 - 6 Meses,138,Femenino,PIJIJIAPAN,PAIS,22,3-4 Years,U.Libre,1
380,POS1921,MFS,S5,Direct,32575,Vol-Insatisfacción personal,Voluntario,DO,27/06/2023,JS011500,11/01/2018,4 - 5 Años,1993,Masculino,VERACRUZ,PAIS,28,Menos de un año,Casado,1
381,POS1921,MFS,S5,Direct,32599,Vol-Insatisfacción personal,Voluntario,DO,27/06/2023,JS011500,20/07/2017,6 - 10 Años,2168,Femenino,CHIHUAHUA,ESTADO,38,Menos de un año,Casado,5
382,POS2003,VS1-HOUS,S5,Direct,32576,Vol-Maternidad,Voluntario,DO,27/06/2023,JF050600,08/04/2015,6 - 10 Años,3002,Femenino,CD. JUAREZ,CIUDAD ,32,Menos de un año,Soltero,1
383,POS1323,VS9-ABS,S5,Direct,32550,Vol-Prob personales y/o fam.,Voluntario,DO,27/06/2023,JS011500,08/09/2022,1 - 3 Años,292,Femenino,SAN LUCAS OJITLAN,PAIS,20,1-2 Years ,Soltero,0
384,POS2858,QMM,S6,Exempt,32469,Vol-Otro empleo,Voluntario,E3,30/06/2023,ADMINIST,01/02/2018,4 - 5 Años,1975,Masculino,CHIHUAHUA,ESTADO,29,Menos de un año,Soltero,0
385,POS454,TEF,S5,Indirect,32600,Vol-Transferencia entre planta,Voluntario,DNO,30/06/2023,JF010600,28/04/2022,1 - 3 Años,428,Femenino,ZACATECAS,PAIS,24,Menos de un año,Soltero,0
386,POS1323,VS7,S5,Direct,32215,Imp.Tra-Jubilación,Impuesta,DO,30/06/2023,JT012324,08/08/2005,10+ Años,6535,Femenino,"CD.JUAREZ,CHIH",CIUDAD ,58,2-3 Years,Casado,3
387,POS1323,VS4,S5,Direct,32575,Imp.Tra-Jubilación,Impuesta,DO,30/06/2023,JF010600,24/10/2005,10+ Años,6458,Masculino,"CD. JUAREZ, CHIH.",CIUDAD ,55,Menos de un año,Casado,0
388,POS2803,VS4,S5,Direct,32472,Muerte,Voluntario,DNO,03/07/2023,JT021800,31/07/2013,6 - 10 Años,3624,Masculino,CD JUAREZ,CIUDAD ,53,Menos de un año,Casado,3
389,POS1559,MFS,S5,Direct,32500,Vol-Otro empleo,Voluntario,DNO,04/07/2023,JT021800,14/02/2019,4 - 5 Años,1601,Masculino,JUAREZ,CIUDAD ,23,Menos de un año,Soltero,0
